ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001022321-24-000062	2528404	Phantom Units			F3, F4	01-JUL-2024				4	A	0				2800.0					F3, F4	A		01-JUL-2025		01-JUL-2025		Commom Units - Class A		2800.0				11793.0				D			
0001022321-24-000061	2528706	Phantom Units			F2	03-JUL-2024				4	M	0				3096.0					F2	D		03-JUL-2024		03-JUL-2024		Common Units - Class A		3096.0				8144.0				D			
0001022321-24-000061	2528707	Phantom Units			F5, F4	01-JUL-2024				4	A	0				2584.0					F5, F4	A		01-JUL-2025		01-JUL-2025		Commom Units - Class A		2584.0				10728.0				D			
0001022321-24-000060	2529084	Phantom Units			F3, F4	01-JUL-2024				4	A	0				2714.0					F3, F4	A		01-JUL-2025		01-JUL-2025		Class A Common Units		2714.0				11127.0				D			
0001022321-24-000060	2529083	Phantom Units			F2	03-JUL-2024				4	M	0				3289.0					F2	D		03-JUL-2024		03-JUL-2024		Common Units - Class A		3289.0				8413.0				D			
0001022321-24-000059	2529111	Phantom Units			F2	03-JUL-2024				4	M	0				3418.0					F2	D		03-JUL-2024		03-JUL-2024		Common Units - Class A		3418.0				8993.0				D			
0001022321-24-000059	2529112	Phantom Units			F3, F4	01-JUL-2024				4	A	0				2800.0					F3, F4	A		01-JUL-2025		01-JUL-2025		Commom Units - Class A		2800.0				11793.0				D			
0001022321-24-000058	2528734	Phantom Units			F2	03-JUL-2024				4	M	0				3289.0					F2	D		03-JUL-2024		03-JUL-2024		Common Units - Class A		3289.0				8413.0				D			
0001022321-24-000058	2528735	Phantom Units			F3, F4	01-JUL-2024				4	A	0				2714.0					F3, F4	A		01-JUL-2025		01-JUL-2025		Commom Units - Class A		2714.0				11127.0				D			
0001127602-24-019988	2528953	Restricted Stock Units			F3	01-JUL-2024				4	M	0				1568.0					F3	D			F4		F4	Common Stock		1568.0				36075.0				D			
0001127602-24-019986	2529078	Restricted Stock Units			F3	02-JUL-2024				4	M	0				1568.0					F3	D			F4		F4	Common Stock		1568.0				36075.0				D			
0001127602-24-019984	2528585	Restricted Stock Units			F4	01-JUL-2024				4	M	0				3785.0					F4	D			F5		F5	Common Stock		3785.0				87078.0				D			
0001127602-24-019982	2529162	Restricted Stock Units			F3	01-JUL-2024				4	M	0				389.0					F3	D			F4		F4	Common Stock		389.0				4276.0				D			
0001127602-24-019982	2529163	Restricted Stock Units			F3	01-JUL-2024				4	M	0				757.0					F3	D			F5		F5	Common Stock		757.0				17416.0				D			
0001127602-24-019980	2528984	Restricted Stock Units			F3	01-JUL-2024				4	M	0				145.0					F3	D			F4		F4	Common Stock		145.0				1597.0				D			
0001127602-24-019980	2528985	Restricted Stock Units			F3	01-JUL-2024				4	M	0				1388.0					F3	D			F5		F5	Common Stock		1388.0				31946.0				D			
0000950170-24-081090	2528361	Deferred Stock Units			F2	01-JUL-2024				4	M	false				53.0				0.0		D			F3		F3	Common Stock		53.0				15638.0				D			
0001562180-24-005567	2528954	Stock Options (Right to Buy)		11.07		01-JUL-2024				4	A	false				272189.0				0.0		A			F2	01-JUL-2034		Common Stock		272189.0				272189.0				D			
0001562180-24-005566	2528484	Stock Options (Right to Buy)		3.76		01-JUL-2024				4	M	false				10000.0				0.0		D			F3	18-MAY-2025		Common Stock		10000.0				30000.0				D			
0001875444-24-000110	2528574	Restricted Stock Units			F1	01-JUL-2024				4	A	0				6954.0				0.0		A			F2		F2	Class A Common Stock		6954.0				6954.0				D			
0000950170-24-081044	2529186	Restricted Stock Units			F1	01-JUL-2024				4	M	false				10697.0				0.0		D			F2		F2	Ordinary Shares		10697.0				21394.0				D			
0000950170-24-081043	2528794	Restricted Stock Units			F1	01-JUL-2024				4	M	false				30562.0				0.0		D			F2		F2	Ordinary Shares		30562.0				61125.0				D			
0000950170-24-081042	2528693	Restricted Stock Units			F1	01-JUL-2024				4	M	false				24959.0				0.0		D			F2		F2	Ordinary Shares		24959.0				49919.0				D			
0001947023-24-000004	2528196	Stock Options		0.21		01-JUL-2024				4	A	0				750000.0					F1	A			F1	30-JUN-2031		Common Stock		750000.0				750000.0				D			
0001947772-24-000002	2528590	Stock Options		0.21		01-JUL-2024				4	A	0				250000.0					F1	A			F1	30-JUN-2031		Common Stock		250000.0				250000.0				D			
0001327811-24-000134	2529170	Class B Common Stock			F14, F13	01-JUL-2024				4	C	0				78279.0				0.0		D			F14, F13		F14, F13	Class A Common Stock		78279.0				43442629.0				D	F6		
0001946441-24-000004	2528756	Stock Options		0.21		01-JUL-2024				4	A	0				250000.0					F1	A			F1	30-JUN-2031		Common Stock		250000.0				250000.0				D			
0001731122-24-001078	2528683	Restricted Stock Unit			F1	30-JUN-2024				4	M	0				2500.0				0.0		D			F2		F2	Common Stock		2500.0				0.0				D			
0001731122-24-001078	2528684	Option to Purchase Stock		6.56	F4	30-JUN-2024				4	A	0				2500.0				0.0		A			F4	30-JUN-2034		Common Stock		2500.0				2500.0				D			
0001140361-24-032293	2528410	Pre-Funded Warrants		0.01		28-JUN-2024				4	P	0				50000.0				4.99		A			F3		F4	Common Stock		50000.0				50000.0				D		See footnote	F5
0001140361-24-032293	2528416	Pre-Funded Warrants		0.01		28-JUN-2024				4	P	0				50000.0				4.99		A			F3		F4	Common Stock		50000.0				50000.0				I			
0001140361-24-032293	2528415	Common Warrants		5.0		28-JUN-2024				4	P	0				50000.0				0.0		A			F1		F2	Common Stock		50000.0				50000.0				I			
0001140361-24-032293	2528414	Pre-Funded Warrants		0.01		28-JUN-2024				4	P	0				50000.0				4.99		A			F3		F4	Common Stock		50000.0				50000.0				I		See footnote	F5
0001140361-24-032293	2528409	Common Warrants		5.0		28-JUN-2024				4	P	0				50000.0				0.0		A			F1		F2	Common Stock		50000.0				50000.0				D		See footnote	F5
