ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-094001	1666569	Conditional Share Award	F1		F1				F3		F3	Common Stock		70.0								I			
0000950170-24-094001	1666568	Conditional Share Award	F1		F1				F2		F2	Common Stock		51.0								I			
0000950170-24-094001	1666567	Conditional Share Award	F1		F1				F4		F4	Common Stock		377.0								D		By spouse	
0000950170-24-094001	1666566	Conditional Share Award	F1		F1				F3		F3	Common Stock		493.0								D		By spouse	
0000950170-24-094001	1666570	Conditional Share Award	F1		F1				F4		F4	Common Stock		48.0								I			
0001617242-24-000065	1666529	Stock Options		13.55				15-SEP-2019		15-SEP-2028		Common Stock		100000.0				100000.0				D			
0001617242-24-000061	1666520	Stock Options		13.38				07-JAN-2020		07-JAN-2029		Common Stock		50000.0				50000.0				D			
0001617242-24-000061	1666519	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		100000.0				100000.0				D			
0001617242-24-000059	1666526	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		150000.0				150000.0				D			
0001617242-24-000057	1666525	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		540000.0				540000.0				D			
0001617242-24-000055	1666527	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		100000.0				100000.0				D			
0001617242-24-000053	1666523	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		75000.0				75000.0				D			
0001617242-24-000053	1666522	Stock Options		13.38				07-JAN-2020		07-JAN-2029		Common Stock		75000.0				75000.0				D			
0001617242-24-000053	1666524	Stock Options		9.82				01-APR-2016		01-APR-2025		Common Stock		6902.0				6902.0				D			
0001617242-24-000051	1666528	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		40000.0				40000.0				D			
0001617242-24-000049	1666521	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		75000.0				75000.0				D			
